technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar
FCV Coach,,,,,,0.0002,390.6897,,0.0952,,,,,,,,,,,,,,0.07,,,,1.5761,,,,,,,,,,,,,,,356840.1722,12.0,,,,,,,,,,,,,,,,
FCV Truck Semi-Trailer max 50 tons,,,,,,0.0004,513.7931,,0.0952,,,,,,,,,,,,,,0.07,,,,2.548,,,,,,,,,,,,,,,139809.9795,10.5,,,,,,,,,,,,,,,,
FCV Truck Solo max 26 tons,,,,,,0.0002,381.0345,,0.0952,,,,,,,,,,,,,,0.07,,,,1.7064,,,,,,,,,,,,,,,255992.8427,13.8,,,,,,,,,,,,,,,,
FCV Truck Trailer max 56 tons,,,,,,0.0002,381.0345,,0.0952,,,,,,,,,,,,,,0.07,,,,2.8363,,,,,,,,,,,,,,,278063.892,13.8,,,,,,,,,,,,,,,,
FT fuel transport ship,,,,,,5.0,,,,,,,75000.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,35000000.0,15.0,,,,,,,,,,,,,,,,
Fischer-Tropsch,,,,,,3.0,,,4.4663,,,,,0.9,,0.326,,,,,,,0.07,,,,0.799,,,,0.2,,,0.007,,,,,,,1.421,703726.4462,20.0,,,,,,,,,,,,,,,,
Gasnetz,,,,,,2.5,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,28000.0,30.0,,,,,,,,,,,,,,,,
General liquid hydrocarbon storage (crude),,,,,,6.25,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,137.8999,30.0,,,,,,,,,,,,,,,,
General liquid hydrocarbon storage (product),,,,,,6.25,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,172.3748,30.0,,,,,,,,,,,,,,,,
Gravity-Brick-bicharger,,,,,,1.5,,,,,,,,,,,,,,,,,0.07,,,,0.9274,,,,,,,,,,,,,,,415570.5177,41.7,,,,,,,,,,,,,,,,
Gravity-Brick-store,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,157381.7274,41.7,,,,,,,,,,,,,,,,
Gravity-Water-Aboveground-bicharger,,,,,,1.5,,,,,,,,,,,,,,,,,0.07,,,,0.9014,,,,,,,,,,,,,,,365630.713,60.0,,,,,,,,,,,,,,,,
Gravity-Water-Aboveground-store,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,121755.0274,60.0,,,,,,,,,,,,,,,,
Gravity-Water-Underground-bicharger,,,,,,1.5,,,,,,,,,,,,,,,,,0.07,,,,0.9014,,,,,,,,,,,,,,,905158.9602,60.0,,,,,,,,,,,,,,,,
Gravity-Water-Underground-store,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,95982.5211,60.0,,,,,,,,,,,,,,,,
H2 (g) fill compressor station,,,,,,1.7,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,4738.7164,20.0,,,,,,,,,,,,,,,,
H2 (g) pipeline,,,,,,3.1667,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.019,,,,,,,,303.6845,50.0,,,,,,,,,,,,,,,,
H2 (g) pipeline repurposed,,,,,,3.1667,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.019,,,,,,,,129.4682,50.0,,,,,,,,,,,,,,,,
H2 (g) submarine pipeline,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.019,,,,,,,,456.1165,30.0,,,,,,,,,,,,,,,,
H2 (g) submarine pipeline repurposed,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.019,,,,,,,,160.1562,30.0,,,,,,,,,,,,,,,,
H2 (l) storage tank,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,793.7456,20.0,,,,,,,,,,,,,,,,
H2 (l) transport ship,,,,,,4.0,,,,,,,11000.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,393737000.0,20.0,,,,,,,,,,,,,,,,
H2 evaporation,,,,,,2.5,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,146840.5,20.0,,,,,,,,,,,,,,,,
H2 liquefaction,,,,,,2.5,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.203,,,,,,,1.017,889942.6,20.0,,,,,,,,,,,,,,,,
H2 pipeline,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,282.5452,40.0,,,,,,,,,,,,,,,,
H2 production biomass gasification,,,,,,5.0,,,0.5118,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.097,,,,,,,,1467939.9000000001,20.0,,,,,,,,,,,,,,,1.804,
H2 production biomass gasification CC,,,,,,5.0,,,0.5232,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.143,,,,,,,,1489095.7000000002,20.0,,,,,,,,,,,,,,,1.804,
H2 production coal gasification,,,,,,6.0,,,0.5061,,,,,,,,,,1.62,,,,0.07,,,,,,,,,,,0.02,,,,,,,,399116.8,20.0,,,,,,,,,,,,,,,,
H2 production coal gasification CC,,,,,,7.56,,,0.1479,,,,,,,,,,1.62,,,,0.07,,,,,,,,,,,0.023,,,,,,,,413448.10000000003,20.0,,,,,,,,,,,,,,,,
H2 production heavy oil partial oxidation,,,,,,5.0,,,0.1592,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.063,,,,,,,,491133.10000000003,25.0,,,,,,,1.3,,,,,,,,,
H2 production natural gas steam reforming,,,,,,4.9,,,204.7,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.02,,,1.25,,,,,180051.8,20.0,,,,,,,,,,,,,,,,
H2 production natural gas steam reforming CC,,,,,,6.0,,,79.60000000000001,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.039,,,1.4,,,,,217586.3,20.0,,,,,,,,,,,,,,,,
H2 production solid biomass steam reforming,,,,,,4.0,,,0.7393,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.044,,,,,,,,590656.3999999999,20.0,,,,,,,,,,,,,,,1.36,
HVAC overhead,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,442.1414,40.0,,,,,,,,,,,,,,,,
HVDC inverter pair,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,165803.0398,40.0,,,,,,,,,,,,,,,,
HVDC overhead,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,442.1414,40.0,,,,,,,,,,,,,,,,
HVDC submarine,,,,,,0.35,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1008.2934,40.0,,,,,,,,,,,,,,,,
HVDC underground,,,,,,0.35,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1008.2934,40.0,,,,,,,,,,,,,,,,
Haber-Bosch,,,,,,3.0,,,0.0225,,,,,,,,,,,,,,0.07,,,,,,,,0.146,,,0.2473,,,,,,,1.1484,1460013.5,30.0,,,,,,0.1597,,,,,,,,,,
HighT-Molten-Salt-charger,,,,,,1.075,,,,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,144192.2682,35.0,,,,,,,,,,,,,,,,
HighT-Molten-Salt-discharger,,,,,,0.2688,,,,,,,,,,,,,,,,,0.07,,,,0.4444,,,,,,,,,,,,,,,576769.073,35.0,,,,,,,,,,,,,,,,
HighT-Molten-Salt-store,,,,,,0.3308,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,94107.5489,35.0,,,,,,,,,,,,,,,,
Hydrogen fuel cell (passenger cars),,,,,,1.1,,,,,,,,,,,,,,,,,0.07,,,,0.48,,,,,,,,,,,,,,,33226.0,15.0,,,,,,,,,,,,,,,,
Hydrogen fuel cell (trucks),,,,,,13.1,,,,,,,,,,,,,,,,,0.07,,,,0.56,,,,,,,,,,,,,,,116497.0,15.0,,,,,,,,,,,,,,,,
Hydrogen-charger,,,,,,0.6345,,,,,,,,,,,,,,,,,0.07,,,,0.6963,,,,,,,,,,,,,,,347170.8209,30.0,,,,,,,,,,,,,,,,
Hydrogen-discharger,,,,,,0.5812,,,,,,,,,,,,,,,,,0.07,,,,0.4869,,,,,,,,,,,,,,,379007.4464,30.0,,,,,,,,,,,,,,,,
Hydrogen-store,,,,,,0.43,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,4779.9527,30.0,,,,,,,,,,,,,,,,
LNG storage tank,,,,,,2.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,666.634,20.0,,,,,,,,,,,,,,,,
LOHC chemical,,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2500.0,20.0,,,,,,,,,,,,,,,,
LOHC dehydrogenation,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,53681.4988,20.0,,,,,,,,,,,,,,,,
LOHC dehydrogenation (small scale),,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,839000.0,20.0,,,,,,,,,,,,,,,,
